Name (as per Aadhaar),Father's Name,Mother's Name,Date of Birth,Gender,Religion,Community,Marital Status,Ex-Service Man,Nationality,Physically Handicapped,Annual Income,Mobile Number,Aadhaar Number,Alternative Mobile,Email Address,Full Address,Country,State,District,Pincode,Occupation,Applying Qualification,Name of the program opting,Mode of Qualification,Stream of Qualification,Completion Status,Year of Passing,Percentage (%),Name of Educational Institution,Training Partner/ATC,Batch Code,Hall Ticket Number,Registration Number,ABC ID (Apaar ID),Distinguishing Mark,Upload Photo,Upload Photo File Type,Upload Photo File Size,Upload Signature,Upload Signature File Type,Upload Signature File Size,Upload Left Hand Thumb Impression,Upload Left Hand Thumb Impression File Type,Upload Left Hand Thumb Impression File Size,Upload Father's/Guardian's Signature,Upload Father's/Guardian's Signature File Type,Upload Father's/Guardian's Signature File Size,Aadhaar Document,Aadhaar Document File Type,Aadhaar Document File Size,Community Certificate,Community Certificate File Type,Community Certificate File Size,Additional Documents (Single PDF),Additional Documents (Single PDF) File Type,Additional Documents (Single PDF) File Size,Declaration / Consent,Declaration Accepted Date,Application Number,Application Status,Verification Status,Registration Date,Last Updated Date,IP Address,Browser Info,Remarks
dfff,mkskmd,dkskl,2026-08-01,Male,Hindu,Scheduled Caste (SC),Single,Yes,Indian,No,0,'8341492762,'123456789087,,sr@gmail.com,dkfkld,India,Andhra Pradesh,Anakapalli,'522402,Student,10th Pass (SSC),,Full Time,B.Tech Civil Engineering,Completed,2024,,,Council For Skills And Competencies (CSC),,'smdm,'ndnkdfknd,'2jn4jnj4r,,,,,http://127.0.0.1:8000/media/123456789087_dfff/Signature/optimized.jpg,image/jpeg,10.87 KB,,,,,,,http://127.0.0.1:8000/media/123456789087_dfff/Aadhaar/compressed_Talari_srinivas_internship_cscindia.pdf,,1415.42 KB,,,,,,,Not Accepted,2026-08-05 19:24:51,NIELIT202600001,Pending,Verified,2026-08-05 19:24:51,2026-08-15 05:49:58,127.0.0.1,,
fdkkfmlfmk,fdfdmfkd,rbdbfifdnfdjifn,2026-08-07,Male,Hindu,General,Single,No,Indian,No,0,'8769847894,'343456677787,,fkd@gmail.com,sdkffkfkfkldflkdf,India,Andhra Pradesh,Anantapur,'343455,Student,10th Pass (SSC),,Full Time,B.Tech Electronics & Communication Engineering,Completed,2024,,cncjkjckxnc,Council For Skills And Competencies (CSC),,'fnkkkl4,'dsskdkfnkdjn455,'434bh343ui34489,343456677787,http://127.0.0.1:8000/media/343456677787_fdkkfmlfmk/Passport/optimized.jpg,image/jpeg,11.09 KB,http://127.0.0.1:8000/media/343456677787_fdkkfmlfmk/Signature/optimized.jpg,image/jpeg,17.06 KB,http://127.0.0.1:8000/media/343456677787_fdkkfmlfmk/Thumb/optimized.jpg,image/jpeg,8.62 KB,,,,http://127.0.0.1:8000/media/343456677787_fdkkfmlfmk/Aadhaar/compressed_Srinivasa_Rao_Talari_T__resume.pdf,,172.86 KB,http://127.0.0.1:8000/media/343456677787_fdkkfmlfmk/Community/compressed_srinivas_nuriek.pdf,,136.39 KB,,,,Not Accepted,2026-08-06 05:58:10,NIELIT202600002,Pending,Pending,2026-08-06 05:58:10,2026-08-06 05:58:11,127.0.0.1,,
jkdsjnfkjdfn,dndfdlknfm,dndfndfnkl,2026-08-01,Male,Hindu,OBC,Single,No,Indian,No,0,'8444894843,'759858447478,,fdnkfnkj@gmail.com,dnfdkfdf,India,Andhra Pradesh,Bapatla,'499459,Student,10th Pass (SSC),,Full Time,B.Tech Civil Engineering,Completed,2024,,dsjkfnkjdf,Council For Skills And Competencies (CSC),,'fdflklk4,'fdnflnlkr4,'ddklfdklflk4545,478349848498,http://127.0.0.1:8000/media/759858447478_jkdsjnfkjdfn/Passport/optimized.jpg,image/jpeg,14.33 KB,http://127.0.0.1:8000/media/759858447478_jkdsjnfkjdfn/Signature/optimized.jpg,image/jpeg,10.41 KB,http://127.0.0.1:8000/media/759858447478_jkdsjnfkjdfn/Thumb/optimized.jpg,image/jpeg,14.32 KB,,,,http://127.0.0.1:8000/media/759858447478_jkdsjnfkjdfn/Aadhaar/compressed_Talari_srinivas_internship_cscindia.pdf,,1415.42 KB,http://127.0.0.1:8000/media/759858447478_jkdsjnfkjdfn/Community/compressed_Srinivasa_Rao_Talari_T_sap.pdf,,411.38 KB,,,,Not Accepted,2026-08-06 14:01:30,Council for Skills and Competencies202600001,Pending,Pending,2026-08-06 14:01:30,2026-08-06 14:01:31,127.0.0.1,,
jkdsjnfkjdfn,dndfdlknfm,dndfndfnkl,2026-08-08,Male,Hindu,General,Single,No,Indian,No,0,'8444894867,'857958598459,,fdnkfnkjfdbhjbj@gmail.com,dnfdkfdf,India,Andhra Pradesh,Anantapur,'878887,Student,10th Pass (SSC),,Full Time,B.Tech CSE (Artificial Intelligence & Data Science),Completed,2024,,dsjkfnkjdf,Council For Skills And Competencies (CSC),,'fdflklk4,'fjdfj7,'jfdkfk43,478349848498,http://127.0.0.1:8000/media/857958598459_jkdsjnfkjdfn/Passport/optimized.jpg,image/jpeg,14.33 KB,http://127.0.0.1:8000/media/857958598459_jkdsjnfkjdfn/Signature/optimized.jpg,image/jpeg,17.42 KB,http://127.0.0.1:8000/media/857958598459_jkdsjnfkjdfn/Thumb/optimized.jpg,image/jpeg,13.87 KB,,,,http://127.0.0.1:8000/media/857958598459_jkdsjnfkjdfn/Aadhaar/compressed_Talari_srinivas_internship_cscindia.pdf,,1415.42 KB,http://127.0.0.1:8000/media/857958598459_jkdsjnfkjdfn/Community/compressed_AIML_RESUME_TALARI.pdf,,175.06 KB,,,,Not Accepted,2026-08-06 14:17:32,CSC202600001,Pending,Pending,2026-08-06 14:17:32,2026-08-06 14:17:33,127.0.0.1,,
jkdsjnfkjdfnd,dndfdlknfmd,dndfndfnkl,2026-08-12,Male,Hindu,General,Single,No,Indian,No,0,'8968986095,'967896890986,,fdnksdsdfnkj@gmail.com,dnfdkfdf,India,Andhra Pradesh,Anantapur,'457498,Student,10th Pass (SSC),,Full Time,M.Tech,Completed,2024,,dsjkfnkjdf,Council For Skills And Competencies (CSC),,'fdflklk4,'fdnflnlkr45458,'ddklfdklflk45rerjh445,478349848493,http://127.0.0.1:8000/media/967896890986_jkdsjnfkjdfnd/Passport/optimized.jpg,image/jpeg,11.02 KB,http://127.0.0.1:8000/media/967896890986_jkdsjnfkjdfnd/Signature/optimized.jpg,image/jpeg,8.62 KB,http://127.0.0.1:8000/media/967896890986_jkdsjnfkjdfnd/Thumb/optimized.jpg,image/jpeg,14.12 KB,,,,http://127.0.0.1:8000/media/967896890986_jkdsjnfkjdfnd/Aadhaar/compressed_srinivas_nuriek.pdf,,136.39 KB,http://127.0.0.1:8000/media/967896890986_jkdsjnfkjdfnd/Community/compressed_AIML_RESUME_TALARI.pdf,,175.06 KB,,,,Not Accepted,2026-08-06 14:33:22,CSC202600002,Pending,Pending,2026-08-06 14:33:22,2026-08-06 14:33:23,127.0.0.1,,
jkdsjnfkjdfnf,dndfdlknfmd,dndfndfnkl,2026-08-12,Male,Hindu,General,Single,No,Indian,No,0,'8444894842,'756987384738,,fdfdfdnkfnkj@gmail.com,dnfdkfdf,India,Andhra Pradesh,Guntur,'435566,Student,10th Pass (SSC),,Full Time,B.Tech Mechanical Engineering,Completed,2024,,dsjkfnkswejdf,Council For Skills And Competencies (CSC),,'fdflklk4,'fdnflnlkr4d,'ddklfdklflk4544345,478349868498,http://127.0.0.1:8000/media/756987384738_jkdsjnfkjdfnf/Passport/optimized.jpg,image/jpeg,12.87 KB,http://127.0.0.1:8000/media/756987384738_jkdsjnfkjdfnf/Signature/optimized.jpg,image/jpeg,13.75 KB,http://127.0.0.1:8000/media/756987384738_jkdsjnfkjdfnf/Thumb/optimized.jpg,image/jpeg,12.48 KB,,,,http://127.0.0.1:8000/media/756987384738_jkdsjnfkjdfnf/Aadhaar/compressed_budget.pdf,,166.0 KB,http://127.0.0.1:8000/media/756987384738_jkdsjnfkjdfnf/Community/compressed_srinivas_nuriek.pdf,,136.39 KB,,,,Not Accepted,2026-08-06 14:44:42,CSC202600003,Pending,Pending,2026-08-06 14:44:42,2026-08-06 14:44:43,127.0.0.1,,
sdfnkjdf,dsfkdlg,fdfkklgm,2026-08-13,Male,Hindu,General,Single,No,Indian,No,0,'6656869855,'786969665667,,ndfkgnkjn@gmail.com,dbfdfdjg,India,Telangana,Kamareddy,'685769,Student,10th Pass (SSC),,Full Time,B.Tech CSE (Artificial Intelligence & Machine Learning),Completed,2024,,fndnfkjd,Council For Skills And Competencies (CSC),,'jdfkj45,'jdfnjdjk545,'dkjfkdfn445,786969665667,http://127.0.0.1:8000/media/786969665667_sdfnkjdf/Passport/optimized.jpg,image/jpeg,8.26 KB,http://127.0.0.1:8000/media/786969665667_sdfnkjdf/Signature/optimized.jpg,image/jpeg,13.75 KB,http://127.0.0.1:8000/media/786969665667_sdfnkjdf/Thumb/optimized.jpg,image/jpeg,10.41 KB,,,,http://127.0.0.1:8000/media/786969665667_sdfnkjdf/Aadhaar/compressed_Srinivasa_Rao_Talari_T__resume.pdf,,172.86 KB,http://127.0.0.1:8000/media/786969665667_sdfnkjdf/Community/compressed_nasccom__title_srinu.pdf,,73.05 KB,,,,Not Accepted,2026-08-06 17:15:42,CSC202600004,Pending,Pending,2026-08-06 17:15:42,2026-08-06 17:15:43,127.0.0.1,,
hghghg,hgh,gfgttrtr,2026-08-06,Male,,,,,Indian,No,467,'4343434656,,,,,,Andhra Pradesh,Guntur,'522402,,10th Pass (SSC),Embedded & SoC Designer,Full Time,,Completed,2024,55.00,443434343434,Council For Skills And Competencies (CSC),,,,'323434454555,,,,,,,,,,,,,,,,,,,,,,,Not Accepted,2026-08-11 06:03:12,,Incomplete,Pending,2026-08-11 06:03:12,2026-08-11 06:03:12,,,
RAO,ddfbhjd,fdfg,2003-02-05,Male,Christian,General,Single,Yes,Indian,No,66767,'8909876543,'982323098765,,srinurao@gmail.com,fnfdfnkjddfdfgfgknkffgnfnfdfjk fjfjdk fdjbffj vfjkfd fjdbfd fkjf j jkhjfgjg gfjgfg fgjfkgjg ggjjgjfkghh gfgjfjg fkgfgg gjjgkfgg fgfngj,India,Andhra Pradesh,Guntur,'522402,Student,2yrs of 3 yr dip in ECE/EE/CS/IT and allied branches after 10th,Embedded & SoC Designer,Part Time,Diploma in Mechanical Engineering,Ongoing,2029,87.00,hgh,Council For Skills And Competencies (CSC),,'ghj,'bfbffbjfhiutruhfdjkfrt,'981072985957,fjdbfbdbknjdjkf nfjdnfkj,http://127.0.0.1:8000/media/982323098765_RAO/Passport/optimized.jpg,image/jpeg,7.6 KB,http://127.0.0.1:8000/media/982323098765_RAO/Signature/optimized.jpg,image/jpeg,5.92 KB,http://127.0.0.1:8000/media/982323098765_RAO/Thumb/optimized.jpg,image/jpeg,4.72 KB,http://127.0.0.1:8000/media/982323098765_RAO/Father_Signature/optimized.jpg,image/jpeg,8.62 KB,,,,http://127.0.0.1:8000/media/982323098765_RAO/Community/compressed_budget.pdf,,166.0 KB,http://127.0.0.1:8000/media/982323098765_RAO/Additional_Documents/compressed_nasccom__title_srinu.pdf,,73.05 KB,Not Accepted,2026-08-14 12:40:44,CSC202600005,Pending,Pending,2026-08-14 12:40:44,2026-08-14 13:09:40,127.0.0.1,,
fjdjfjfg,djfjdn,fdkjfnkl,2001-02-07,Male,Jain,OBC,Single,Yes,Indian,Yes,7687896,'4678469864,'963463458938,'7869684380,fdjkfk@gmail.com,jkdfjkdhgfn gngnkjfgjk  gknkg,India,Andhra Pradesh,Guntur,'522402,Employed,2yrs of 3 yr dip in ECE/EE/CS/IT and allied branches after 10th,Embedded & SoC Designer,Full Time,Diploma in Mechanical Engineering,Ongoing,2028,89.00,hgkjhkg,Council For Skills And Competencies (CSC),BATCH-CSC-2026-01,'fght6,'ghgh56,'598958490676,vhjhdfkjdhfkj,http://127.0.0.1:8000/media/963463458938_fjdjfjfg/Passport/optimized.jpg,image/jpeg,9.72 KB,http://127.0.0.1:8000/media/963463458938_fjdjfjfg/Signature/optimized.jpg,image/jpeg,5.92 KB,http://127.0.0.1:8000/media/963463458938_fjdjfjfg/Thumb/optimized.jpg,image/jpeg,4.72 KB,http://127.0.0.1:8000/media/963463458938_fjdjfjfg/Father_Signature/optimized.jpg,image/jpeg,8.62 KB,http://127.0.0.1:8000/media/963463458938_fjdjfjfg/Aadhaar/compressed_CERT-BD43E44C33F2_2.pdf,,9.3 KB,http://127.0.0.1:8000/media/963463458938_fjdjfjfg/Community/compressed_swe.pdf,,481.51 KB,http://127.0.0.1:8000/media/963463458938_fjdjfjfg/Additional_Documents/compressed_Srinivasa_Rao_Talari_NTT_Data.pdf,,168.15 KB,Not Accepted,2026-08-15 07:41:40,CSC202600006,Submitted,,2026-08-15 07:41:40,2026-08-15 07:42:58,127.0.0.1,,
